epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1835,1.3901,2.07481,1.83127,0.00201,0.45827,0.00102,0.00032,2.39059,inf,3.52646,0.000549205,0.000549205,0.000549205
2,101.434,1.55972,1.87351,1.92837,0.12325,0.24876,0.07338,0.019,2.84488,5.46639,4.20529,0.00106112,0.00106112,0.00106112
3,159.844,1.59225,1.91332,1.94772,0.07847,0.20911,0.04892,0.01418,2.84649,4.24709,3.65708,0.00152902,0.00152902,0.00152902
4,212.313,1.52197,1.83405,1.87872,0.02081,0.04,0.00563,0.00105,4.06998,6.06609,4.65803,0.00146896,0.00146896,0.00146896
5,264.257,1.52672,1.76519,1.88238,0.29008,0.61649,0.34271,0.11296,2.16433,2.21677,2.97062,0.00140295,0.00140295,0.00140295
6,321.018,1.4259,1.68731,1.80553,0.4376,0.60243,0.47835,0.23141,1.61665,1.7559,2.38174,0.00133693,0.00133693,0.00133693
7,378.175,1.35391,1.58215,1.72564,0.52433,0.57272,0.53164,0.21734,1.88287,1.63951,2.61144,0.00127092,0.00127092,0.00127092
8,430.885,1.33896,1.53641,1.73698,0.49149,0.74594,0.61138,0.2597,1.73613,1.43755,2.50177,0.00120491,0.00120491,0.00120491
9,490.249,1.2874,1.4657,1.69138,0.4963,0.61644,0.57226,0.2485,1.72022,1.53853,2.39605,0.00113889,0.00113889,0.00113889
10,541.629,1.29552,1.45721,1.68798,0.62018,0.76099,0.71832,0.35774,1.5594,1.21162,2.27732,0.00107288,0.00107288,0.00107288
11,599.772,1.24462,1.39034,1.6557,0.66617,0.71898,0.71857,0.36617,1.57077,1.24101,2.21906,0.00100687,0.00100687,0.00100687
12,656.081,1.22752,1.34412,1.64133,0.62611,0.76104,0.72734,0.36985,1.53204,1.26195,2.21276,0.000940855,0.000940855,0.000940855
13,712.715,1.23475,1.3092,1.63696,0.64653,0.7893,0.75553,0.37949,1.53263,1.12612,2.27457,0.000874842,0.000874842,0.000874842
14,769.445,1.18875,1.31461,1.60143,0.77439,0.67708,0.80579,0.4308,1.39474,1.15972,2.06607,0.000808828,0.000808828,0.000808828
15,832.735,1.1457,1.22144,1.56517,0.66114,0.84575,0.82476,0.46247,1.34312,1.06517,2.02457,0.000742815,0.000742815,0.000742815
16,892.574,1.06675,0.98349,1.74966,0.77744,0.79356,0.86341,0.4815,1.37908,0.96776,2.07926,0.000676802,0.000676802,0.000676802
17,948.382,1.02203,0.87224,1.70231,0.83875,0.73064,0.86788,0.51187,1.26292,0.99077,1.98096,0.000610789,0.000610789,0.000610789
18,1004,0.9912,0.81073,1.65322,0.86492,0.8207,0.9147,0.53226,1.24135,0.87506,1.91838,0.000544776,0.000544776,0.000544776
19,1060.8,0.93331,0.74647,1.62545,0.88293,0.79296,0.89828,0.56705,1.196,0.83328,1.86017,0.000478762,0.000478762,0.000478762
20,1116.93,0.90634,0.68477,1.60056,0.89364,0.91098,0.94215,0.59726,1.13776,0.75468,1.8076,0.000412749,0.000412749,0.000412749
21,1171.44,0.87563,0.64899,1.55377,0.90755,0.8704,0.93179,0.58633,1.13694,0.72362,1.8,0.000346736,0.000346736,0.000346736
22,1223.03,0.82118,0.61707,1.50736,0.88504,0.89689,0.93545,0.60935,1.12033,0.70731,1.79423,0.000280723,0.000280723,0.000280723
23,1279.9,0.76018,0.56969,1.45379,0.90777,0.92015,0.9622,0.64934,1.01746,0.64518,1.67842,0.00021471,0.00021471,0.00021471
24,1336.52,0.7267,0.53614,1.41313,0.92211,0.93505,0.96803,0.66617,0.99935,0.60843,1.66725,0.000148696,0.000148696,0.000148696
25,1392.85,0.69537,0.51995,1.39274,0.93043,0.93223,0.96995,0.68546,0.97208,0.59566,1.62929,8.26832e-05,8.26832e-05,8.26832e-05
